t_ms,s
5�50,960

8204,958

8254,957

8304,957

8354,956

8404,956

8454,955

8504,956

8554,956

8604,956

8654,956

8704,956

8754,957

8804,957

8854,957

8904,957

8954,957

9004,957

9054,956

9104,956

9154,956

9204,956

9254,955

9304,956

9354,955

9404,956

9454,956

9504,956

9554,956

9604,956

9654,956

9704,957

9754,957

9804,956

9854,957

9904,955

9954,954

10004,954

10054,953

10104,953

10155,953

10205,953

10255,953

10305,953

10355,953

10405,953

10455,953

10505,953

10555,953

10605,953

10655,953

10705,954

10755,953

10805,953

10855,954

10905,953

10955,954

11005,954

11055,954

11105,954

11155,953

11205,953

11255,954

11305,954

11355,953

11405,953

11455,953

11505,954

11555,953

11606,953

11656,954

11706,954

11756,953

11806,954

11856,953

11906,953

11956,953

12006,953

12056,953

12106,953

12156,953

12206,954

12256,953

12306,953

12356,954

12406,953

12456,953

12506,953

12556,953

12606,953

12656,954

12706,953

12756,954

12806,953

12856,953

12906,954

12956,953

13006,953

13056,953

13106,954

13156,953

13206,953

13256,953

13306,954

13356,953

13406,953

13456,954

13506,954

13556,953

13606,954

13656,953

13706,953

13756,954

13806,953

13856,954

13906,953

13956,953

14006,954

14056,954

14106,954

14156,954

14206,953

14256,953

14306,953

14356,953

14406,954

14456,953

14507,953

14557,954

14607,953

14657,954

14707,954

14757,953

14807,953

14857,953

14907,953

14957,954

15007,953

15057,954

15107,954

15157,954

15207,953

15257,954

15307,954

15357,954

15407,953

15457,953

15507,954

15557,954

15607,953

15657,954

15707,954

15757,954

15807,954

15857,953

15907,954

15958,954

16008,953

16058,955

16108,953

16158,953

16208,953

16258,953

16308,953

16358,953

16408,953

16458,953

16508,953

16558,953

16608,954

16658,952

16708,953

16758,953

16808,953

16858,953

16908,953

16958,953

17008,953

17058,953

17108,953

17158,953

17208,953

17258,953

17308,953

17358,953

17408,952

17458,953

17508,953

17558,953

17608,953

17658,953

17708,952

17758,953

17808,952

17858,952

17908,952

17958,952

18008,952

18058,952

18108,953

18158,952

18208,952

18258,952

18308,952

18358,953

18408,952

18458,952

18508,953

18558,953

18608,953

18658,953

18708,953

18758,953

18808,953

18859,953

18909,953

18959,953

19009,953

19059,953

19109,953

19159,953

19209,953

19259,953

19309,953

19359,953

19409,953

19459,952

19509,953

19559,952

19609,952

19659,953

19709,953

19759,953

19809,953

19859,953

19909,953

19959,953

20009,952

20059,953

20109,952

20159,953

20209,952

20259,952

20310,953

20360,953

20410,953

20460,953

20510,952

20560,953

20610,953

20660,953

20710,953

20760,954

20810,954

20860,954

20910,954

20960,954

21010,954

21060,954

21110,954

21160,954

21210,954

21260,953

21310,954

21360,954

21410,953

21460,954

21510,954

21560,954

21610,954

21660,954

21710,954

21760,954

21810,954

21860,954

21910,954

21960,954

22010,954

22060,954

22110,954

22160,953

22210,954

22260,954

22310,954

22360,953

22410,954

22460,953

22510,953

22560,953

22610,953

22660,953

22710,953

22760,953

22810,954

22860,953

22910,953

22960,953

23010,953

23060,953

23110,953

23160,953

23211,953

23261,952

23311,952

23361,953

23411,952

23461,952

23511,952

23561,952

23611,953

23661,952

23711,949

23761,953

23811,953

23861,954

23911,955

23961,955

24011,955

24061,956

24111,956

24161,956

24211,956

24261,956

24311,955

24361,954

24411,954

24461,954

24511,950

24561,949

24611,949

24662,949

24712,949

24762,949

24812,949

24862,949

24912,949

24962,949

25012,949

25062,949

25112,949

25162,949

25212,949

25262,949

25312,949

25362,951

25412,952

25462,952

25512,952

25562,952

25612,952

25662,953

25712,953

25762,953

25812,953

25862,953

25912,953

25962,953

26012,953

26062,952

26112,952

26162,953

26212,953

26262,953

26312,953

26362,953

26412,953

26462,953

26512,953

26562,953

26612,953

26662,954

26712,954

26762,953

26812,954

26862,954

26912,954

26962,954

27012,954

27062,954

27112,953

27162,953

27212,954

27262,954

27312,953

27362,954

27412,953

27462,953

27512,954

27563,953

27613,953

27663,952

27713,952

27763,952

27813,952

27863,952

27913,952

27963,952

28013,952

28063,953

28113,953

28163,953

28213,954

28263,953

28313,953

28363,953

28413,953

28463,954

28513,954

28563,954

28613,954

28663,953

28713,954

28763,954

28813,954

28863,954

28913,954

28963,955

29014,955

29064,954

29114,955

29164,955

29214,955

29264,955

29314,955

29364,955

29414,955

29464,955

29514,955

29564,955

29614,955

29664,955

29714,956

29764,956

29814,955

29864,956

29914,956

29964,956

30014,955

30064,955

30114,955

30164,955

30214,955

30264,955

30314,954

30364,953

30414,953

30464,953

30514,953

30564,953

30614,952

30664,953

30714,953

30764,954

30814,955

30864,955

30914,955

30964,955

31014,956

31064,957

31114,956

31164,956

31214,955

31264,953

31314,953

31364,953

31414,953

31464,953

31514,953

31564,953

31614,953

31664,953

31714,952

31764,953

31814,952

31864,953

31915,953

31965,953

32015,952

32065,953

32115,953

32165,953

32215,953

32265,953

32315,953

32365,953

32415,953

32465,953

32515,953

32565,953

32615,953

32665,953

32715,953

32765,953

32815,953

32865,953

32915,953

32965,952

33015,954

33065,953

33115,953

33165,953

