t_ms,s
5�50,960

97795,959

97845,959

97895,958

97945,959

97995,958

98045,958

98095,959

98145,958

98195,959

98245,959

98295,958

98345,959

98395,958

98445,958

98495,958

98545,957

98595,958

98646,958

98696,958

98746,959

98796,958

98846,958

98896,958

98946,958

98996,958

99046,958

99096,958

99146,958

99196,958

99246,958

99296,958

99346,958

99396,958

99446,958

99496,959

99546,958

99596,959

99646,959

99696,959

99746,958

99796,958

99846,959

99896,958

99946,958

99996,958

100046,958

100096,958

100146,959

100196,959

100246,958

100296,958

100346,958

100396,959

100446,959

100496,958

100546,959

100596,958

100646,958

100696,959

100746,958

100796,959

100846,959

100896,959

100946,959

100996,959

101046,959

101096,960

101146,959

101196,960

101246,959

101296,959

101346,959

101396,959

101446,959

101496,960

101547,959

101597,959

101647,960

101697,959

101747,959

101797,960

101847,959

101897,959

101947,959

101997,959

102047,960

102097,959

102147,959

102197,960

102247,959

102297,959

102347,959

102397,959

102447,959

102497,959

102547,959

102597,959

102647,959

102697,959

102747,960

102797,959

102847,959

102897,959

102947,959

102998,959

103048,959

103098,959

103148,959

103198,959

103248,959

103298,959

103348,959

103398,959

103448,959

103498,959

103548,959

103598,959

103648,959

103698,959

103748,959

103798,959

103848,959

103898,959

103948,959

103998,959

104048,959

104098,959

104148,959

104198,959

104248,959

104298,959

104348,959

104398,959

104448,959

104498,959

104548,959

104598,959

104648,959

104698,959

104748,959

104798,959

104848,959

104898,959

104948,959

104998,959

105048,959

105098,959

105148,959

105198,959

105248,959

105298,959

105348,959

105398,959

105448,959

105498,959

105548,959

105598,959

105648,959

105698,959

105748,959

105798,959

105848,959

105899,959

105949,959

105999,959

106049,959

106099,959

106149,959

106199,959

106249,959

106299,959

106349,959

106399,959

106449,959

106499,959

106549,959

106599,959

106649,959

106699,959

106749,959

106799,959

106849,959

106899,959

106949,959

106999,959

107049,959

107099,959

107149,960

107199,959

107249,959

107299,959

107350,959

107400,959

107450,959

107500,959

107550,959

107600,959

107650,959

107700,959

107750,959

107800,959

107850,959

107900,959

107950,959

108000,959

108050,959

108100,959

108150,959

108200,959

108250,959

108300,959

108350,959

108400,959

108450,959

108500,959

108550,959

108600,959

108650,959

108700,959

108750,959

108800,960

108850,959

108900,959

108950,959

109000,959

109050,959

109100,959

109150,959

109200,959

109250,959

109300,959

109350,959

109400,959

109450,959

109500,959

109550,959

109600,959

109650,959

109700,959

109750,959

109800,958

109850,959

109900,959

109950,958

110000,959

110050,959

110100,959

110150,959

110200,959

110251,959

110301,959

110351,958

110401,959

110451,960

110501,959

110551,959

110601,959

110651,959

110701,959

110751,959

110801,959

110851,959

110901,959

110951,959

111001,960

111051,959

111101,959

111151,959

111201,959

111251,959

111301,959

111351,959

111401,959

111451,959

111501,959

111551,959

111601,959

111651,959

111702,959

111752,959

111802,959

111852,959

111902,959

111952,959

112002,959

112052,959

112102,960

112152,959

112202,960

112252,960

112302,960

112352,959

112402,960

112452,959

112502,960

112552,960

112602,960

112652,960

112702,960

112752,960

112802,960

112852,959

112902,959

112952,959

113002,959

113052,960

113102,959

113152,959

113202,960

113252,959

113302,959

113352,959

113402,959

113452,959

113502,959

113552,959

113602,959

113652,959

113702,959

113752,959

113802,959

113852,959

113902,959

113952,959

114002,959

114052,959

114102,959

114152,959

114202,959

114252,959

114302,960

114352,959

114402,959

114452,959

114502,959

114552,959

114603,959

114653,959

114703,959

114753,959

114803,959

114853,960

114903,959

114953,960

115003,959

115053,959

115103,959

115153,959

115203,959

115253,959

115303,959

115353,959

115403,959

115453,959

115503,960

115553,959

115603,959

115653,959

115703,959

115753,959

115803,959

115853,959

115903,959

115953,959

116003,959

116054,959

116104,959

116154,959

116204,959

116254,959

116304,959

116354,959

116404,959

116454,959

116504,959

116554,959

116604,959

116654,959

116704,959

116754,959

116804,959

116854,958

116904,959

116954,959

117004,958

