ID,Tu Semestre Actual,Eres originario de Guadalupe Victoria?,El Tecnológico de los Llanos fue tu:,¿Por qué elegiste esta institución? (elige máximo 3),"Si no fue tu primera opción, ¿cuál fue el motivo principal?",Ingeniería Mecatrónica fue tu:,Motivo principal para elegir Mecatrónica ,"Antes de ingresar, tu conocimiento sobre la carrera era:",Percepcion de Calidad académica general de la carrera,Como consideras el nivel de los docentes,Preparación técnica que estás recibiendo,Actualización tecnológica de contenidos,uso de laboratorio y practicas,Vínculo con el sector productivo,¿Qué deberían mejorar los docentes? (máximo 2),Como sientes el Nivel de exigencia académica actual:,Participación en concursos de robótica/tecnología,Participación en proyectos de investigación,Que tan importante es para ti los Deportes institucionales,Que tan importante es para ti las Actividades culturales,Que tan importante es para ti los Clubes estudiantiles ,¿Has participado en alguna actividad extracurricular?,"Si no participas, el motivo principal es:",¿Has pensado en dejar la carrera?,Motivos que podrían llevarte a dejar la carrera (máximo 3):,Nivel de satisfacción general con la carrera:
54,8°,Si,1er opcion,Cercanía a mi domicilio;Oferta de la carrera;Costo accesible;,No aplica,1er opción,Campo laboral ampli,Poco Claro,Buena,Buena,Buena,Excelente,Excelente,Excelente,Mejor explicación teórica;Mejor comunicación;,Alto,Muy Importante,Algo Importante,Poco importante,Poco importante,Algo Importante,No,No aplica,No aplica,Falta de motivación,Satisfecho
55,2°,Si,2da opcion,No fui aceptado en otra institución ;Oferta de la carrera;Instalaciones;,No fui aceptado en mi primer opción ,1er opción,Campo laboral ampli,Poco Claro,Excelente,Excelente,Excelente,Buena,Buena,Buena,Mejor comunicación;Más uso de software especializado;,Adecuado,Importante,Importante,Algo Importante,Algo Importante,Importante,Si,No aplica,Nunca,Trabajo,Muy satisfecho
56,4°,No,1er opcion,Recomendación de familiares y amigos;Oferta de la carrera;Prestigio académico ;,Cambié de interes,1er opción,Recomendación externa,Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,No considero que haya áreas críticas;,Adecuado,Importante,Importante,Muy Importante,Poco importante,Importante,No,No aplica,No aplica,Problemas personales,Satisfecho
57,6°,Si,2da opcion,Prestigio académico ;Costo accesible;Cercanía a mi domicilio;,No fui aceptado en mi primer opción ,1er opción,Interés en Robótica,Muy Claro,Excelente,Buena,Excelente,Buena,Regular,Excelente,Más proyectos reales;Mejor comunicación;,Adecuado,Importante,Algo Importante,Algo Importante,Importante,Algo Importante,Si,Falta de tiempo,Nunca,Trabajo,Satisfecho
58,4°,No,1er opcion,Cercanía a mi domicilio;Prestigio académico ;,No aplica,1er opción,Campo laboral ampli,Claro,Buena,Buena,Buena,Buena,Buena,Regular,Más proyectos reales;Más uso de software especializado;,Adecuado,Algo Importante,Poco importante,Poco importante,Poco importante,Poco importante,Si,Falta de tiempo,Nunca,Problemas económicos,Satisfecho
59,6°,Si,1er opcion,Cercanía a mi domicilio;Recomendación de familiares y amigos;Actividades extracurriculares;,No aplica,1er opción,Interés en automatización Industrial,Muy Limitado,Buena,Buena,Buena,Regular,Buena,Excelente,Más uso de software especializado;,Adecuado,Poco importante,Nada importante,Poco importante,Nada importante,Poco importante,Si,No aplica,Nunca,Falta de motivación,Muy satisfecho
60,6°,Si,2da opcion,Cercanía a mi domicilio;Oferta de la carrera;Becas disponibles;,Cambio de ciudad,1er opción,Interés en Robótica,Claro,Buena,Buena,Buena,Buena,Buena,Buena,Evaluaciones más claras;Mejor comunicación;,Alto,Muy Importante,Importante,Algo Importante,Poco importante,Muy Importante,Si,Falta de información ,Varias veces,Falta de apoyo academico,Neutral
61,2°,Si,3er opción o más ,Cercanía a mi domicilio;,No aplica,1er opción,Interés en Programación,Poco Claro,Buena,Buena,Buena,Buena,Regular,Regular,Mayor práctica en laboratorio;,Adecuado,Algo Importante,Algo Importante,Nada importante,Nada importante,Algo Importante,Si,Falta de tiempo,Una vez,Cambio de intereses,Neutral
62,6°,Si,1er opcion,Prestigio académico ;,No aplica,1er opción,Interés en Electrónica,Muy Claro,Buena,Buena,Excelente,Excelente,Buena,Regular,Más proyectos reales;Mayor práctica en laboratorio;,Adecuado,Muy Importante,Importante,Algo Importante,Algo Importante,Importante,Si,Trabajo,Nunca,Problemas económicos,Muy insatisfecho
63,8°,Si,1er opcion,Cercanía a mi domicilio;,No aplica,1er opción,Campo laboral ampli,Muy Limitado,Regular,Regular,Regular,Buena,Buena,Buena,Mejor explicación teórica;,Adecuado,Importante,Importante,Algo Importante,Importante,Importante,Si,Falta de tiempo,Varias veces,Problemas económicos,Satisfecho
64,2°,No,1er opcion,Cercanía a mi domicilio;Oferta de la carrera;Prestigio académico ;,Motivos económicos ,1er opción,Interés en Robótica,Poco Claro,Excelente,Excelente,Excelente,Excelente,Buena,Excelente,Mejor explicación teórica;Mejor comunicación;,Adecuado,Muy Importante,Muy Importante,Importante,Importante,Importante,No,No aplica,No aplica,Estrés o carga excesiva,Neutral
65,2°,Si,2da opcion,Oferta de la carrera;,No fui aceptado en mi primer opción ,2da opción,Interés en Programación,Claro,Buena,Buena,Buena,Buena,Buena,Buena,Mayor práctica en laboratorio;Más uso de software especializado;,Adecuado,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,No,No aplica,No aplica,Falta de motivación,Neutral
66,2°,Si,1er opcion,Cercanía a mi domicilio;Prestigio académico ;Recomendación de familiares y amigos;,No aplica,1er opción,Interés en Robótica,Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,No considero que haya áreas críticas;,Adecuado,Importante,Importante,Muy Importante,Importante,Importante,Si,Falta de tiempo,Nunca,Bajo rendimiento académico,Muy insatisfecho
67,4°,Si,1er opcion,Recomendación de familiares y amigos;,No aplica,1er opción,Recomendación externa,Poco Claro,Buena,Buena,Buena,Buena,Buena,Buena,Más proyectos reales;Más uso de software especializado;,Adecuado,Algo Importante,Algo Importante,Algo Importante,Algo Importante,Algo Importante,Si,Falta de tiempo,Varias veces,Cambio de intereses,Satisfecho
68,6°,No,2da opcion,Cercanía a mi domicilio;Oferta de la carrera;,Cambié de interes,1er opción,Interés en Robótica,Poco Claro,Buena,Buena,Buena,Buena,Buena,Buena,Mejor organización;,Adecuado,Importante,Importante,Poco importante,Poco importante,Algo Importante,No,No aplica,Nunca,Problemas económicos,Satisfecho
